Language_ID,Glottocode,Notes
zhangst_qiangmawo,nort2722,manual:Qiang Mawo = Northern Qiang (Mawo dialect)
zhangst_daofu,horp1239,manual:Daofu = Stau-Dgebshes (Horpa)
zhangst_ergongdanba,horp1239,manual:Ergong Danba = Stau-Dgebshes (Horpa Danba variety)
zhangst_caodeng,situ1238,manual:Caodeng = Situ (Caodeng rGyalrong)
zhangst_rgyalrongmaerkang,situ1238,manual:rGyalrong Maerkang = Situ (Maerkang rGyalrong)
zhangst_trungdulong,drun1238,manual:Trung Dulong = Drung (Dulong River dialect)
zhangst_trungdulongnujiang,drun1238,manual:Trung Dulong Nujiang = Drung (Nu River dialect)
zhangst_anong,nung1282,manual:Anong = Nung Myanmar (Anong is a Nungish variety)
zhangst_burmesespokenrangoon,nucl1310,manual:Burmese Spoken Rangoon = Burmese
zhangst_achanglongchuan,acha1249,manual:Achang Longchuan = Longchuan Achang
zhangst_achangxiandao,acha1249,manual:Achang Xiandao = Longchuan Achang (Xiandao dialect)
zhangst_leqiluxi,lash1243,manual:Leqi Luxi = Lashi (Leqi is Leqic closest to Lashi)
zhangst_achanglianghe,lian1258,manual:Achang Lianghe = Lianghe Achang
zhangst_bolaluxi,pela1242,manual:Bola Luxi = Pela (Burmish)
zhangst_langsuluxi,maru1249,manual:Langsu Luxi = Maru (Langsu is Maru)
zhangst_achangluxi,luxi1238,manual:Achang Luxi = Luxi Achang
zhangst_atsizaiwa,zaiw1241,manual:Atsi Zaiwa = Zaiwa
zhangst_nusunorthern,nusu1239,manual:Nusu Northern = Nusu (Northern dialect)
zhangst_nususouthern,nusu1239,manual:Nusu Southern = Nusu (Southern dialect)
zhangst_nusucentral,nusu1239,manual:Nusu Central = Nusu (Central dialect)
zhangst_yinanjian,sout2723,manual:Yi Nanjian = Southern Nisu (Nanjian county Dali)
zhangst_yimile,sani1269,manual:Yi Mile = Sani (Mile county is Sani area)
zhangst_yidafang,wume1235,manual:Yi Dafang = Wumeng Nasu (Dafang is a Wumeng dialect)
zhangst_yiweishan,xish1235,manual:Yi Weishan = Xishanba Lalo (Western Lalo from Weishan)
zhangst_yiwuding,wudi1238,manual:Yi Wuding = Wuding-Luquan Yi
zhangst_yimojiang,yuan1242,manual:Yi Mojiang = Yuanjiang-Mojiang Yi
zhangst_yisani,sani1269,manual:Yi Sani = Sani
zhangst_lahulancang,lahu1253,manual:Lahu Lancang = Lahu (Black Lahu from Lancang)
zhangst_lisunorthern,lisu1250,manual:Lisu Northern = Lisu (Northern dialect)
zhangst_jinuoyoule,youl1235,manual:Jinuo Youle = Youle Jinuo
zhangst_lahuyellow,lahu1252,manual:Lahu Yellow = Lahu Shi (Yellow Lahu)
zhangst_lisucentral,lisu1250,manual:Lisu Central = Lisu (Central dialect)
